Locid,City,Pass_2014,Pass_2013,Pass_2012,Pass_2011,Pass_2010,Pass_2009,Pass_2008,latitude,longitude,Rank,FAA-Region,ST,AirportName
ATL,Atlanta,46604273,45308407,45798928,44414121,43130585,42280868,43761280,33.3573,-84.5718,1,SO,GA,Hartsfield - Jackson Atlanta International
LAX,Los Angeles,34314197,32425892,31326268,30528737,28857755,27439897,28861477,33.9425,-118.4081,2,WP,CA,Los Angeles International
ORD,Chicago,33843426,32317835,32171795,31892301,32171831,31135732,33683991,41.9786,-87.9048,3,GL,IL,Chicago O'Hare International
DFW,Fort Worth,30804567,29038128,28022904,27518358,27100656,26663984,27219285,32.8968,-97.038,4,SW,TX,Dallas/Fort Worth International
JFK,New York,26244928,25036358,24520981,23664832,22934047,22710272,23620948,40.6398,-73.7789,5,EA,NY,John F Kennedy International
DEN,Denver,26000591,25496885,25799841,25667499,25241932,24013669,24117623,39.8617,-104.6732,6,NM,CO,Denver International
SFO,San Francisco  ,22770783,21704626,21284236,20056568,19359003,18467908,17280328,37.619,-122.3749,7,WP,CA,San Francisco International
CLT,Charlotte,21537725,21346601,20033816,19022535,18629181,17165376,16584780,35.214,-80.9431,8,SO,NC,Charlotte/Douglas International
LAS,Las Vegas,20620248,19946179,19959651,19872617,18996738,19445952,22537950,36.0801,-115.1523,9,WP,NV,McCarran International
PHX,Phoenix,20344867,19525109,19560870,19750306,18907171,18559647,20796173,33.4343,-112.0116,10,WP,AZ,Phoenix Sky Harbor International
MIA,Miami,19471466,19420089,18987488,18342158,17017491,16187768,16377488,25.79325,-80.290556,11,SO,FL,Miami International
EWR,Newark,11773405,17546506,17055993,16814092,16571754,16659441,17599578,40.6925,-74.1687,12,EA,NJ,Newark Liberty International
SEA,Seattle,17888080,16690295,16121123,15971676,15406243,15273092,15839504,47.449,-122.3093,13,NM,WA,Seattle-Tacoma International
MSP,Minneapolis,16972678,16280835,15943878,15895653,15512487,15551206,16369324,44.881956,-93.221767,14,GL,MN,Minneapolis-St.Paul International/Wold-Chamberlain
DTW,Detroit ,15775941,15683523,15599879,15716865,15643890,15211402,16998174,42.212444,-83.353389,15,GL,MI,Detroit Metropolitan Wayne County
BOS,Boston,15507561,14810153,14293695,14180730,13561814,12566797,12820489,42.364347,-71.005181,16,NE,MA,General Edward Lawrence Logan International
PHL,Philadelphia,14792339,14727945,14589337,14883180,14951254,15002961,15586852,39.871944,-75.241139,17,EA,PA,Philadelphia International
BWI,Glen Burnie,11022200,11132731,11186444,11067319,10848633,10338950,10215225,39.175361,-76.668333,18,EA,MD,"Baltimore/Washington
International Thurgood
Marshal"
SLC,Salt Lake City ,10139065,9668048,9579840,9701756,9910493,9903821,9993198,-76.668333,-111.977772,19,NM,UT,Salt Lake City International
DCA,Arlington,10115546,9838034,9462231,9053004,8736804,8490288,8704466,38.852083,-77.037722,20,EA,VA,Ronald Reagan Washington National
PDX,Portland,7878760,7452603,7142620,6808486,6582227,6430119,7090526,45.588722,-122.5975,21,NM,OR,Portland International
STL,St. Louis,6108758,6216104,6208750,6159090,6044760,6084070,6740468,38.748697,-90.370028,22,CE,MO,Lambert-St Louis International
MEM,Memphis,1800268,2301003,3359668,4344213,4930935,5054191,5376818,35.042417,-89.976667,23,SO,TN,Memphis International
MKE,Milwaukee,3228607,3214811,3710384,4671976,4760170,3822542,3861333,42.947222,-87.896583,24,GL,WI,General Mitchell International
CLE,Cleveland,3686315,4375448,4346941,4401033,4591097,4704329,5387625,41.411689,-81.849794,25,GL,OH,Cleveland-Hopkins International
